num_attacks,num_ripples,attack_location,ripple_damage
4,6,"[(18.43, 16.03), (47.5, 39.12), (56.99, 20.14), (36.86, 12.41)]","[39.33, 26.22, 17.48, 11.65, 7.77, 5.18]"
5,6,"[(8.14, 4.52), (64.87, 36.9), (44.16, 31.69), (16.44, 31.86), (22.99, 46.76)]","[14.67, 9.78, 6.52, 4.35, 2.9, 1.93]"
2,6,"[(62.11, 30.19), (48.55, 33.32)]","[25.33, 16.89, 11.26, 7.51, 5.0, 3.34]"
4,8,"[(43.42, 40.92), (49.28, 4.62), (28.58, 48.37), (49.96, 45.82)]","[28.67, 19.11, 12.74, 8.49, 5.66, 3.78, 2.52, 1.68]"
4,6,"[(29.62, 16.02), (33.36, 42.85), (12.9, 25.43), (52.32, 20.51)]","[14.0, 9.33, 6.22, 4.15, 2.77, 1.84]"
4,7,"[(46.79, 48.09), (24.92, 13.89), (25.64, 43.95), (35.32, 37.14)]","[26.67, 17.78, 11.85, 7.9, 5.27, 3.51, 2.34]"
2,5,"[(26.37, 34.4), (56.97, 38.45)]","[18.0, 12.0, 8.0, 5.33, 3.56]"
4,8,"[(68.1, 35.24), (48.42, 46.76), (50.54, 5.26), (42.97, 1.56)]","[34.0, 22.67, 15.11, 10.07, 6.72, 4.48, 2.98, 1.99]"
4,9,"[(40.76, 13.62), (55.62, 32.49), (51.78, 34.3), (41.32, 1.74)]","[19.33, 12.89, 8.59, 5.73, 3.82, 2.55, 1.7, 1.13, 0.75]"
5,7,"[(68.14, 42.88), (43.87, 24.18), (51.77, 29.05), (36.06, 18.21), (58.06, 43.28)]","[38.0, 25.33, 16.89, 11.26, 7.51, 5.0, 3.34]"
3,9,"[(55.27, 39.5), (34.11, 7.38), (27.34, 35.51)]","[22.67, 15.11, 10.07, 6.72, 4.48, 2.98, 1.99, 1.33, 0.88]"
5,6,"[(14.32, 45.11), (1.08, 23.74), (62.02, 11.5), (2.28, 28.7), (9.27, 4.51)]","[26.67, 17.78, 11.85, 7.9, 5.27, 3.51]"
2,6,"[(58.11, 38.8), (52.72, 43.54)]","[19.33, 12.89, 8.59, 5.73, 3.82, 2.55]"
2,6,"[(50.58, 14.12), (32.04, 27.94)]","[24.0, 16.0, 10.67, 7.11, 4.74, 3.16]"
3,8,"[(60.64, 46.12), (30.3, 48.84), (14.11, 22.62)]","[13.33, 8.89, 5.93, 3.95, 2.63, 1.76, 1.17, 0.78]"
4,6,"[(59.52, 8.94), (57.84, 14.97), (25.1, 1.47), (64.83, 12.58)]","[29.33, 19.56, 13.04, 8.69, 5.79, 3.86]"
3,9,"[(27.73, 23.79), (28.31, 24.92), (42.51, 37.51)]","[22.67, 15.11, 10.07, 6.72, 4.48, 2.98, 1.99, 1.33, 0.88]"
3,7,"[(26.12, 18.5), (32.61, 44.64), (56.67, 23.05)]","[26.67, 17.78, 11.85, 7.9, 5.27, 3.51, 2.34]"
5,5,"[(8.45, 37.06), (66.54, 41.97), (17.89, 29.83), (67.69, 3.09), (45.04, 29.58)]","[14.0, 9.33, 6.22, 4.15, 2.77]"
2,7,"[(59.09, 16.05), (37.01, 9.97)]","[36.0, 24.0, 16.0, 10.67, 7.11, 4.74, 3.16]"
4,9,"[(31.74, 36.99), (25.34, 20.61), (51.14, 30.03), (38.19, 31.79)]","[30.67, 20.44, 13.63, 9.09, 6.06, 4.04, 2.69, 1.79, 1.2]"
4,6,"[(1.33, 3.38), (40.35, 46.73), (21.52, 3.33), (47.28, 29.56)]","[23.33, 15.56, 10.37, 6.91, 4.61, 3.07]"
5,7,"[(29.68, 47.94), (41.6, 4.59), (63.05, 4.87), (3.77, 11.76), (69.47, 35.19)]","[22.0, 14.67, 9.78, 6.52, 4.35, 2.9, 1.93]"
4,9,"[(38.24, 19.32), (6.58, 32.3), (60.2, 49.28), (56.0, 49.45)]","[26.67, 17.78, 11.85, 7.9, 5.27, 3.51, 2.34, 1.56, 1.04]"
4,7,"[(23.93, 2.95), (36.19, 48.44), (28.29, 8.05), (56.73, 37.18)]","[21.33, 14.22, 9.48, 6.32, 4.21, 2.81, 1.87]"
5,5,"[(30.04, 39.47), (61.32, 15.41), (52.55, 22.3), (43.45, 20.47), (9.26, 22.59)]","[32.0, 21.33, 14.22, 9.48, 6.32]"
4,9,"[(50.35, 9.14), (54.69, 17.5), (66.4, 39.38), (28.06, 14.33)]","[38.67, 25.78, 17.19, 11.46, 7.64, 5.09, 3.39, 2.26, 1.51]"
2,9,"[(10.82, 4.36), (6.04, 5.52)]","[35.33, 23.56, 15.7, 10.47, 6.98, 4.65, 3.1, 2.07, 1.38]"
4,8,"[(60.24, 12.74), (11.33, 2.23), (60.48, 49.31), (47.89, 36.56)]","[29.33, 19.56, 13.04, 8.69, 5.79, 3.86, 2.58, 1.72]"
4,5,"[(9.97, 12.57), (28.39, 44.53), (36.88, 42.21), (66.09, 3.41)]","[31.33, 20.89, 13.93, 9.28, 6.19]"
5,9,"[(56.98, 25.94), (56.47, 29.66), (4.54, 42.57), (14.91, 23.48), (54.74, 14.95)]","[30.67, 20.44, 13.63, 9.09, 6.06, 4.04, 2.69, 1.79, 1.2]"
5,7,"[(58.24, 19.77), (4.79, 39.77), (48.88, 48.06), (45.76, 25.65), (12.27, 41.19)]","[36.0, 24.0, 16.0, 10.67, 7.11, 4.74, 3.16]"
3,7,"[(34.12, 46.65), (42.71, 21.09), (28.96, 46.47)]","[29.33, 19.56, 13.04, 8.69, 5.79, 3.86, 2.58]"
2,6,"[(44.32, 35.63), (10.04, 37.61)]","[24.67, 16.44, 10.96, 7.31, 4.87, 3.25]"
4,9,"[(19.06, 9.16), (29.51, 41.36), (9.03, 20.11), (1.43, 31.9)]","[22.0, 14.67, 9.78, 6.52, 4.35, 2.9, 1.93, 1.29, 0.86]"
4,9,"[(60.09, 5.21), (64.89, 35.24), (3.11, 45.16), (11.37, 38.38)]","[18.67, 12.44, 8.3, 5.53, 3.69, 2.46, 1.64, 1.09, 0.73]"
2,7,"[(7.82, 42.99), (36.07, 31.68)]","[22.0, 14.67, 9.78, 6.52, 4.35, 2.9, 1.93]"
2,7,"[(4.65, 48.19), (49.01, 7.02)]","[16.67, 11.11, 7.41, 4.94, 3.29, 2.19, 1.46]"
2,8,"[(28.22, 46.13), (67.08, 29.95)]","[20.67, 13.78, 9.19, 6.12, 4.08, 2.72, 1.81, 1.21]"
4,6,"[(5.86, 25.51), (6.26, 36.94), (11.89, 19.48), (23.72, 20.65)]","[35.33, 23.56, 15.7, 10.47, 6.98, 4.65]"
5,6,"[(56.54, 33.71), (11.82, 5.7), (38.06, 3.13), (19.35, 19.88), (6.77, 12.14)]","[22.67, 15.11, 10.07, 6.72, 4.48, 2.98]"
5,8,"[(59.45, 49.79), (36.49, 38.2), (36.72, 21.48), (59.7, 28.29), (9.77, 48.89)]","[36.0, 24.0, 16.0, 10.67, 7.11, 4.74, 3.16, 2.11]"
5,9,"[(58.68, 46.93), (43.77, 3.25), (43.39, 17.98), (58.0, 42.13), (5.15, 32.87)]","[20.0, 13.33, 8.89, 5.93, 3.95, 2.63, 1.76, 1.17, 0.78]"
4,9,"[(13.15, 43.85), (65.16, 13.56), (46.77, 17.81), (63.58, 35.98)]","[23.33, 15.56, 10.37, 6.91, 4.61, 3.07, 2.05, 1.37, 0.91]"
2,7,"[(44.12, 42.98), (60.51, 30.88)]","[33.33, 22.22, 14.81, 9.88, 6.58, 4.39, 2.93]"
4,6,"[(25.42, 34.88), (23.67, 34.89), (61.24, 42.6), (50.38, 9.59)]","[17.33, 11.56, 7.7, 5.14, 3.42, 2.28]"
2,9,"[(27.74, 19.41), (6.79, 26.56)]","[24.0, 16.0, 10.67, 7.11, 4.74, 3.16, 2.11, 1.4, 0.94]"
2,8,"[(4.21, 16.64), (61.01, 4.11)]","[29.33, 19.56, 13.04, 8.69, 5.79, 3.86, 2.58, 1.72]"
5,9,"[(67.12, 29.0), (16.68, 23.01), (2.11, 3.5), (32.61, 33.77), (51.95, 43.6)]","[20.0, 13.33, 8.89, 5.93, 3.95, 2.63, 1.76, 1.17, 0.78]"
2,9,"[(46.1, 5.46), (68.17, 14.43)]","[19.33, 12.89, 8.59, 5.73, 3.82, 2.55, 1.7, 1.13, 0.75]"
5,5,"[(29.87, 14.65), (47.56, 16.85), (3.76, 20.73), (37.71, 32.5), (64.5, 15.11)]","[37.33, 24.89, 16.59, 11.06, 7.37]"
3,5,"[(61.09, 24.94), (6.65, 14.79), (67.7, 3.55)]","[18.0, 12.0, 8.0, 5.33, 3.56]"
4,9,"[(5.77, 3.32), (46.3, 2.17), (67.64, 29.6), (32.41, 7.12)]","[16.0, 10.67, 7.11, 4.74, 3.16, 2.11, 1.4, 0.94, 0.62]"
3,7,"[(64.88, 18.09), (38.77, 4.39), (25.2, 20.46)]","[40.0, 26.67, 17.78, 11.85, 7.9, 5.27, 3.51]"
3,9,"[(5.54, 33.76), (53.13, 42.89), (24.7, 36.27)]","[20.67, 13.78, 9.19, 6.12, 4.08, 2.72, 1.81, 1.21, 0.81]"
4,7,"[(32.92, 39.83), (22.79, 43.35), (53.44, 20.64), (45.47, 9.3)]","[19.33, 12.89, 8.59, 5.73, 3.82, 2.55, 1.7]"
2,7,"[(49.36, 39.63), (34.76, 37.44)]","[28.67, 19.11, 12.74, 8.49, 5.66, 3.78, 2.52]"
2,9,"[(9.91, 12.41), (6.82, 28.5)]","[30.67, 20.44, 13.63, 9.09, 6.06, 4.04, 2.69, 1.79, 1.2]"
2,5,"[(15.98, 11.27), (49.34, 43.03)]","[37.33, 24.89, 16.59, 11.06, 7.37]"
5,8,"[(22.82, 26.93), (9.57, 9.11), (28.52, 41.98), (56.66, 32.72), (25.03, 12.51)]","[24.0, 16.0, 10.67, 7.11, 4.74, 3.16, 2.11, 1.4]"
2,9,"[(31.56, 23.3), (5.51, 44.77)]","[13.33, 8.89, 5.93, 3.95, 2.63, 1.76, 1.17, 0.78, 0.52]"
2,9,"[(65.9, 20.57), (24.36, 46.89)]","[27.33, 18.22, 12.15, 8.1, 5.4, 3.6, 2.4, 1.6, 1.07]"
3,9,"[(61.74, 18.3), (33.98, 31.31), (15.54, 16.46)]","[27.33, 18.22, 12.15, 8.1, 5.4, 3.6, 2.4, 1.6, 1.07]"
2,5,"[(11.07, 15.83), (51.83, 21.41)]","[35.33, 23.56, 15.7, 10.47, 6.98]"
5,6,"[(28.79, 27.95), (51.18, 19.45), (3.89, 38.73), (37.72, 49.72), (9.21, 12.61)]","[28.0, 18.67, 12.44, 8.3, 5.53, 3.69]"
2,6,"[(1.45, 15.49), (55.41, 9.92)]","[35.33, 23.56, 15.7, 10.47, 6.98, 4.65]"
5,6,"[(29.0, 36.55), (5.77, 31.67), (8.89, 15.58), (28.45, 32.04), (46.84, 40.98)]","[22.67, 15.11, 10.07, 6.72, 4.48, 2.98]"
5,5,"[(60.25, 19.21), (9.14, 33.52), (38.88, 32.84), (24.1, 1.73), (24.09, 16.76)]","[29.33, 19.56, 13.04, 8.69, 5.79]"
4,7,"[(57.79, 12.69), (48.95, 8.48), (69.45, 40.7), (9.78, 17.92)]","[36.67, 24.44, 16.3, 10.86, 7.24, 4.83, 3.22]"
2,5,"[(27.2, 30.56), (48.53, 1.51)]","[32.0, 21.33, 14.22, 9.48, 6.32]"
4,8,"[(31.19, 8.35), (19.83, 7.72), (13.57, 16.29), (58.79, 3.85)]","[30.0, 20.0, 13.33, 8.89, 5.93, 3.95, 2.63, 1.76]"
3,5,"[(15.47, 43.55), (66.25, 29.4), (67.7, 2.69)]","[34.67, 23.11, 15.41, 10.27, 6.85]"
2,5,"[(34.19, 18.86), (52.89, 11.87)]","[37.33, 24.89, 16.59, 11.06, 7.37]"
5,8,"[(10.24, 6.53), (60.83, 14.29), (8.61, 13.36), (65.16, 3.34), (33.95, 40.2)]","[20.0, 13.33, 8.89, 5.93, 3.95, 2.63, 1.76, 1.17]"
5,7,"[(33.8, 14.62), (21.79, 42.83), (48.25, 18.22), (26.12, 39.81), (6.44, 15.55)]","[26.0, 17.33, 11.56, 7.7, 5.14, 3.42, 2.28]"
3,6,"[(16.15, 27.86), (1.65, 45.05), (24.47, 40.9)]","[38.67, 25.78, 17.19, 11.46, 7.64, 5.09]"
3,5,"[(41.73, 48.61), (1.72, 27.36), (13.09, 2.86)]","[34.67, 23.11, 15.41, 10.27, 6.85]"
2,8,"[(14.38, 22.02), (50.46, 27.43)]","[34.67, 23.11, 15.41, 10.27, 6.85, 4.57, 3.04, 2.03]"
3,5,"[(57.47, 37.03), (30.55, 49.17), (52.25, 44.11)]","[26.0, 17.33, 11.56, 7.7, 5.14]"
4,7,"[(57.83, 2.11), (37.03, 45.34), (7.34, 9.49), (7.72, 30.63)]","[23.33, 15.56, 10.37, 6.91, 4.61, 3.07, 2.05]"
3,9,"[(19.26, 19.32), (16.25, 19.9), (64.75, 32.96)]","[30.67, 20.44, 13.63, 9.09, 6.06, 4.04, 2.69, 1.79, 1.2]"
2,8,"[(31.79, 21.03), (44.35, 19.93)]","[16.67, 11.11, 7.41, 4.94, 3.29, 2.19, 1.46, 0.98]"
4,5,"[(48.57, 25.14), (48.25, 27.1), (49.34, 13.79), (41.44, 7.98)]","[26.67, 17.78, 11.85, 7.9, 5.27]"
2,5,"[(69.94, 9.44), (67.92, 16.02)]","[28.0, 18.67, 12.44, 8.3, 5.53]"
4,8,"[(28.33, 36.73), (24.81, 28.61), (48.34, 6.32), (38.57, 11.69)]","[20.67, 13.78, 9.19, 6.12, 4.08, 2.72, 1.81, 1.21]"
3,9,"[(56.48, 49.25), (69.55, 37.44), (3.69, 2.74)]","[21.33, 14.22, 9.48, 6.32, 4.21, 2.81, 1.87, 1.25, 0.83]"
5,7,"[(51.99, 21.96), (51.98, 36.63), (20.23, 13.75), (62.04, 11.77), (24.66, 41.01)]","[33.33, 22.22, 14.81, 9.88, 6.58, 4.39, 2.93]"
3,9,"[(60.81, 24.38), (29.92, 40.78), (28.1, 45.74)]","[37.33, 24.89, 16.59, 11.06, 7.37, 4.92, 3.28, 2.19, 1.46]"
5,7,"[(1.61, 41.23), (53.82, 17.97), (44.15, 41.08), (38.58, 20.35), (65.69, 30.95)]","[34.0, 22.67, 15.11, 10.07, 6.72, 4.48, 2.98]"
2,7,"[(35.23, 47.18), (61.56, 13.84)]","[34.67, 23.11, 15.41, 10.27, 6.85, 4.57, 3.04]"
2,6,"[(52.49, 4.47), (28.85, 1.23)]","[26.67, 17.78, 11.85, 7.9, 5.27, 3.51]"
5,6,"[(25.3, 33.79), (23.62, 24.64), (49.64, 48.45), (21.82, 46.96), (65.36, 4.66)]","[32.0, 21.33, 14.22, 9.48, 6.32, 4.21]"
3,7,"[(17.91, 33.97), (2.73, 40.73), (57.7, 3.25)]","[40.0, 26.67, 17.78, 11.85, 7.9, 5.27, 3.51]"
2,6,"[(63.98, 10.57), (63.81, 38.48)]","[26.0, 17.33, 11.56, 7.7, 5.14, 3.42]"
4,5,"[(3.82, 6.95), (66.86, 19.07), (51.99, 27.87), (5.73, 3.01)]","[22.0, 14.67, 9.78, 6.52, 4.35]"
2,5,"[(46.5, 16.3), (52.55, 26.76)]","[24.0, 16.0, 10.67, 7.11, 4.74]"
5,5,"[(19.79, 45.97), (1.24, 2.32), (43.49, 32.52), (26.73, 45.04), (7.35, 47.3)]","[26.67, 17.78, 11.85, 7.9, 5.27]"
3,5,"[(45.87, 4.06), (1.02, 23.44), (28.58, 17.88)]","[35.33, 23.56, 15.7, 10.47, 6.98]"
3,6,"[(11.42, 12.71), (32.68, 9.27), (17.25, 25.52)]","[35.33, 23.56, 15.7, 10.47, 6.98, 4.65]"
2,7,"[(61.18, 20.95), (42.13, 10.1)]","[14.0, 9.33, 6.22, 4.15, 2.77, 1.84, 1.23]"
2,9,"[(39.24, 5.74), (59.62, 12.37)]","[22.67, 15.11, 10.07, 6.72, 4.48, 2.98, 1.99, 1.33, 0.88]"
3,5,"[(2.06, 34.24), (61.24, 1.35), (24.21, 24.03)]","[16.67, 11.11, 7.41, 4.94, 3.29]"
5,6,"[(56.28, 29.94), (60.7, 15.32), (48.35, 41.43), (18.04, 33.12), (22.84, 37.63)]","[26.67, 17.78, 11.85, 7.9, 5.27, 3.51]"
3,5,"[(13.82, 15.94), (27.51, 29.79), (55.66, 36.1)]","[25.33, 16.89, 11.26, 7.51, 5.0]"
3,5,"[(28.47, 49.02), (1.95, 24.03), (11.92, 49.52)]","[30.0, 20.0, 13.33, 8.89, 5.93]"
5,5,"[(63.64, 31.18), (37.31, 27.53), (69.69, 44.22), (61.94, 33.61), (56.26, 18.62)]","[25.33, 16.89, 11.26, 7.51, 5.0]"
5,7,"[(64.95, 39.1), (38.93, 23.85), (59.06, 49.8), (34.02, 4.87), (41.53, 2.59)]","[16.0, 10.67, 7.11, 4.74, 3.16, 2.11, 1.4]"
2,7,"[(14.8, 17.91), (18.28, 5.08)]","[14.0, 9.33, 6.22, 4.15, 2.77, 1.84, 1.23]"
2,8,"[(28.56, 33.0), (22.44, 34.92)]","[26.0, 17.33, 11.56, 7.7, 5.14, 3.42, 2.28, 1.52]"
2,8,"[(42.35, 33.3), (15.96, 33.74)]","[26.0, 17.33, 11.56, 7.7, 5.14, 3.42, 2.28, 1.52]"
5,6,"[(44.2, 45.31), (30.72, 19.61), (58.38, 33.09), (56.09, 34.55), (44.16, 22.63)]","[29.33, 19.56, 13.04, 8.69, 5.79, 3.86]"
5,5,"[(61.34, 16.9), (66.22, 16.18), (16.21, 17.04), (24.56, 15.23), (51.24, 5.32)]","[25.33, 16.89, 11.26, 7.51, 5.0]"
5,8,"[(61.43, 22.44), (21.54, 45.1), (35.95, 32.13), (54.88, 22.55), (59.5, 31.53)]","[14.0, 9.33, 6.22, 4.15, 2.77, 1.84, 1.23, 0.82]"
5,7,"[(14.94, 39.09), (1.34, 28.35), (58.77, 41.18), (67.74, 47.66), (43.52, 34.11)]","[26.67, 17.78, 11.85, 7.9, 5.27, 3.51, 2.34]"
2,6,"[(53.06, 34.1), (63.3, 4.64)]","[17.33, 11.56, 7.7, 5.14, 3.42, 2.28]"
4,6,"[(57.72, 28.22), (43.87, 14.47), (61.2, 42.09), (13.76, 33.27)]","[14.0, 9.33, 6.22, 4.15, 2.77, 1.84]"
5,9,"[(11.27, 21.0), (68.28, 13.78), (32.38, 49.28), (4.56, 38.89), (22.61, 15.42)]","[20.67, 13.78, 9.19, 6.12, 4.08, 2.72, 1.81, 1.21, 0.81]"
2,6,"[(10.66, 2.04), (56.84, 26.9)]","[30.0, 20.0, 13.33, 8.89, 5.93, 3.95]"
2,6,"[(5.12, 34.27), (20.56, 30.81)]","[20.0, 13.33, 8.89, 5.93, 3.95, 2.63]"
5,8,"[(24.83, 47.56), (38.69, 3.16), (51.98, 7.3), (9.19, 49.96), (55.64, 1.52)]","[14.67, 9.78, 6.52, 4.35, 2.9, 1.93, 1.29, 0.86]"
2,5,"[(58.24, 47.87), (67.87, 2.67)]","[33.33, 22.22, 14.81, 9.88, 6.58]"
5,6,"[(17.81, 5.13), (48.92, 33.12), (14.08, 31.72), (3.45, 19.08), (26.62, 4.2)]","[39.33, 26.22, 17.48, 11.65, 7.77, 5.18]"
5,5,"[(37.83, 11.28), (65.9, 39.88), (63.4, 2.96), (33.23, 37.98), (62.56, 46.67)]","[17.33, 11.56, 7.7, 5.14, 3.42]"
5,8,"[(50.85, 16.97), (12.66, 27.25), (68.29, 45.86), (14.11, 44.97), (63.72, 36.33)]","[34.67, 23.11, 15.41, 10.27, 6.85, 4.57, 3.04, 2.03]"
5,9,"[(66.0, 18.84), (6.93, 42.27), (1.17, 35.63), (19.02, 38.78), (69.01, 43.5)]","[34.67, 23.11, 15.41, 10.27, 6.85, 4.57, 3.04, 2.03, 1.35]"
2,5,"[(32.59, 48.23), (32.3, 18.61)]","[35.33, 23.56, 15.7, 10.47, 6.98]"
5,5,"[(8.89, 4.69), (38.57, 43.31), (7.65, 46.3), (57.21, 42.58), (27.13, 10.85)]","[14.0, 9.33, 6.22, 4.15, 2.77]"
2,8,"[(55.0, 3.83), (17.23, 22.81)]","[40.0, 26.67, 17.78, 11.85, 7.9, 5.27, 3.51, 2.34]"
2,7,"[(47.35, 41.62), (18.69, 39.78)]","[22.67, 15.11, 10.07, 6.72, 4.48, 2.98, 1.99]"
4,5,"[(66.74, 38.43), (45.42, 39.93), (51.56, 49.88), (47.2, 4.49)]","[37.33, 24.89, 16.59, 11.06, 7.37]"
2,8,"[(32.73, 19.89), (43.32, 14.14)]","[35.33, 23.56, 15.7, 10.47, 6.98, 4.65, 3.1, 2.07]"
2,7,"[(63.21, 45.51), (39.95, 43.05)]","[29.33, 19.56, 13.04, 8.69, 5.79, 3.86, 2.58]"
4,5,"[(18.25, 10.57), (65.27, 18.92), (35.73, 9.02), (48.17, 46.14)]","[36.0, 24.0, 16.0, 10.67, 7.11]"
4,8,"[(17.26, 27.55), (27.58, 3.93), (28.16, 14.48), (46.84, 40.52)]","[36.67, 24.44, 16.3, 10.86, 7.24, 4.83, 3.22, 2.15]"
5,7,"[(37.63, 43.42), (42.76, 33.03), (43.95, 13.14), (7.08, 11.24), (33.04, 12.83)]","[37.33, 24.89, 16.59, 11.06, 7.37, 4.92, 3.28]"
2,8,"[(45.61, 3.32), (21.39, 37.96)]","[30.67, 20.44, 13.63, 9.09, 6.06, 4.04, 2.69, 1.79]"
2,5,"[(27.98, 16.65), (29.2, 28.95)]","[38.67, 25.78, 17.19, 11.46, 7.64]"
5,9,"[(45.38, 36.05), (2.49, 43.69), (63.45, 42.56), (12.7, 13.64), (60.24, 1.16)]","[26.0, 17.33, 11.56, 7.7, 5.14, 3.42, 2.28, 1.52, 1.01]"
4,6,"[(27.19, 42.25), (19.72, 1.28), (47.9, 22.07), (10.84, 40.83)]","[21.33, 14.22, 9.48, 6.32, 4.21, 2.81]"
2,9,"[(43.84, 1.47), (4.24, 15.08)]","[38.67, 25.78, 17.19, 11.46, 7.64, 5.09, 3.39, 2.26, 1.51]"
5,9,"[(21.95, 47.4), (33.44, 44.2), (64.15, 29.24), (65.93, 14.77), (54.88, 45.07)]","[13.33, 8.89, 5.93, 3.95, 2.63, 1.76, 1.17, 0.78, 0.52]"
3,7,"[(66.59, 19.76), (35.72, 47.27), (51.06, 44.71)]","[39.33, 26.22, 17.48, 11.65, 7.77, 5.18, 3.45]"
4,8,"[(34.88, 21.75), (20.02, 23.39), (58.11, 14.23), (30.22, 40.84)]","[37.33, 24.89, 16.59, 11.06, 7.37, 4.92, 3.28, 2.19]"
5,6,"[(16.17, 4.77), (6.43, 13.05), (46.68, 39.66), (33.24, 30.88), (42.88, 41.63)]","[34.67, 23.11, 15.41, 10.27, 6.85, 4.57]"
4,6,"[(16.39, 6.29), (67.54, 12.87), (4.12, 49.66), (32.97, 16.2)]","[13.33, 8.89, 5.93, 3.95, 2.63, 1.76]"
4,6,"[(25.39, 19.34), (36.61, 18.08), (31.76, 14.37), (27.3, 5.27)]","[31.33, 20.89, 13.93, 9.28, 6.19, 4.13]"
5,9,"[(63.13, 13.26), (34.84, 33.5), (4.37, 14.28), (60.93, 17.57), (26.14, 39.54)]","[38.0, 25.33, 16.89, 11.26, 7.51, 5.0, 3.34, 2.22, 1.48]"
2,9,"[(30.32, 22.67), (57.85, 21.3)]","[34.0, 22.67, 15.11, 10.07, 6.72, 4.48, 2.98, 1.99, 1.33]"
2,5,"[(68.74, 36.68), (6.33, 46.75)]","[13.33, 8.89, 5.93, 3.95, 2.63]"
